游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
泰拉瑞亚(含数据包),8.3 ,冒险解谜,中文,60℃,2016-08-04,1.2.12785,完全免费,505 Games Srl,4.0.3以上,19207,6338
滑板少年,5.3 ,体育运动,英文,60℃,2016-05-06,1.1,完全免费,Runner Games,2.3以上,633,80
最终幻想4(含数据包),8.8 ,角色扮演,中文,60℃,2015-12-22,1.5.4,完全免费,SQEX,2.3.3以上,6407,2573
F18舰载机模拟起降,5.5 ,飞行游戏,英文,60℃,2013-11-11,5.85,完全免费,RORTOS,2.2以上,1100,207
植物大作战,8.0 ,策略塔防,"中文, 韩文",60℃,2013-01-16,1.5.0,完全免费,GAMEVIL,2.2以上,6078,504
植物大战僵尸2免谷歌版(含数据包),7.7 ,策略塔防,英文,59℃,2016-09-27,5.3.1,完全免费,EA,3.0以上,2695,1802
神偷奶爸：奔跑小小兵,7.5 ,益智休闲,"中文, 韩文",59℃,2016-09-23,4.0.0j,完全免费,Gameloft,2.3以上,6436,1090
印第安探险,5.1 ,益智休闲,英文,59℃,2016-08-29,1.0.8,完全免费,ALPER SARIKAYA,2.3以上,623,175
水果忍者,8.4 ,益智休闲,中文,59℃,2016-05-27,3.1.4,道具收费,乐逗,4.1以上,12653,695
沙滩车闪电战,7.3 ,竞速游戏,英文,59℃,2016-05-09,1.3.17,完全免费,Vector Unit,4.0.3以上,988,168
纪念碑谷官方正版,9.0 ,冒险解谜,中文,59℃,2016-03-14,2.3.4,激活收费,乐逗,1.5以上,12217,7217
3D超音速飞行,5.0 ,竞速游戏,英文,59℃,2016-02-17,4.2,完全免费,Osaris,2.2以上,927,68
勇敢的心:世界大战汉化版(含数据包),9.0 ,冒险解谜,中文,59℃,2014-12-11,1.0.0,完全免费,Ubisoft育碧,3.2以上,9531,11314
现充都爆炸吧汉化版,5.9 ,益智休闲,中文,59℃,2015-03-31,1.0.0,完全免费,,2.3.3以上,2410,1509
超凡蜘蛛侠2破解版(含数据包),8.0 ,动作游戏,"英文, 中文",59℃,2014-08-14,1.1.1,完全免费,Gameloft,4.0以上,9831,4011
找你妹,6.0 ,益智休闲,中文,59℃,2013-10-12,5.0.0,道具收费,热酷,2.2以上,1104,101
疯狂的拳头2,7.5 ,益智休闲,英文,59℃,2013-01-29,1.5,完全免费,,2.0.1以上,767,20
极限方程式,4.8 ,竞速游戏,中文,59℃,2012-11-08,1.1.5,完全免费,GOGN entertainment,2.0.1以上,1728,79
终极跑车,4.9 ,竞速游戏,英文,59℃,2010-12-21,1,完全免费,oyatsukai.com,2.1以上,586,10
杀出重围GO(含数据包),6.4 ,冒险解谜,"英文, 中文",58℃,2016-09-23,1.1.71394,完全免费,SQEX,4.2以上,982,1728
模拟山羊(含数据包),7.0 ,动作游戏,"英文, 中文",58℃,2016-09-22,1.4.13,完全免费,Coffee Stain Studios,4.0.3以上,5168,3041
坦克世界:闪电战,8.6 ,射击游戏,"英文, 中文",58℃,2016-09-20,3.1.0.908,完全免费,Wargaming,4.0以上,12579,4259
捕鱼达人3,7.9 ,益智休闲,中文,58℃,2016-03-29,1.1.4,道具收费,触控科技,2.3以上,2103,221
节奏大师,5.7 ,音乐游戏,中文,58℃,2015-12-22,2.5.3.2,完全免费,腾讯,2.1以上,1991,433
都市赛车6高清版(含数据包),8.3 ,竞速游戏,英文,58℃,2013-12-07,1.0.8,完全免费,Gameloft,2.1以上,7047,295
三剑之舞中文版,5.4 ,角色扮演,"中文, 韩文",58℃,2012-04-27,1.0.4,完全免费,Com2uS,2.1以上,4201,738
地牢猎人3(含数据包),8.4 ,角色扮演,中文,58℃,2012-12-21,1.5.0,完全免费,Gameloft,2.2以上,8432,2699
英雄守卫2汉化版,5.8 ,策略塔防,中文,58℃,2012-03-19,1.0.6,完全免费,PALADIN,2.2以上,1084,254
神鬼战士,,动作游戏,英文,58℃,2012-01-03,1,完全免费,BiCORE,2.2以上,1116,269
罪恶都市,4.6 ,角色扮演,英文,57℃,2016-09-29,7.7.0,完全免费,"GREE, INC",4.0.3以上,1016,66
模拟人生:自由行动,7.0 ,模拟经营,中文,57℃,2016-09-07,5.24.0,完全免费,EA,2.3.3以上,11218,3997
崩溃大陆免验证版,9.1 ,角色扮演,英文,57℃,2016-08-18,1.1.12,完全免费,Butterscotch Shenanigans,2.3以上,13727,7150
老爸曾是小偷,7.6 ,益智休闲,中文,57℃,2016-04-29,2.1.3,完全免费,Rebel Twins,2.3以上,1400,471
100层,5.1 ,益智休闲,中文,57℃,2016-04-08,3.2.0.0,完全免费,Tobi Apps,4.0.3以上,1598,118
异形大战铁血战士:进化(含数据包),7.6 ,动作游戏,中文,57℃,2016-03-15,2.1,完全免费,"Fox Digital Entertainment, Inc",4.0.3以上,7245,2928
急速冲击,7.9 ,益智休闲,中文,57℃,2015-11-30,1.4.0,完全免费,Mediocre,2.3以上,1828,1609
