rank,name,showtime,duration,director,type,score,nation
82,心灵捕手,1997/12/5,126,格斯·范·桑特,剧情,8.8,美国
83,阳光灿烂的日子,1995/8/21,134,姜文,剧情,8.8,中国
84,幽灵公主,1997/7/12,134,宫崎骏,爱情,8.8,日本
85,第六感,1999/8/6,107,M·奈特·沙马兰,悬疑,8.8,美国
86,末代皇帝,1987/10/4,163,贝纳尔多·贝托鲁奇,传记,8.9,意大利
199,哪吒闹海,1979/5/19,65,严定宪,动画,-1,中国
88,禁闭岛,2010/2/13,138,Martin,悬疑,8.6,美国
89,大鱼,2003/12/4,125,蒂姆·波顿,家庭,8.7,美国
90,狩猎,2012/5/20,115,托马斯·温特伯格,剧情,9,丹麦
121,小森林 夏秋篇,2014/8/30,NA,森淳一,剧情,8.9,日本
92,射雕英雄传之东成西就,1993/2/5,113,刘镇伟,古装,8.7,中国
93,哈利·波特与魔法石,2001/11/16,152,Chris,冒险,8.7,美国
94,致命ID,2003/4/25,90,James,悬疑,8.6,美国
95,甜蜜蜜,1996/11/2,118,陈可辛,爱情,8.8,中国
96,一一,2000/5/14,173,杨德昌,爱情,8.9,中国
97,断背山,2005/9/2,134,李安,爱情,8.6,美国
98,阳光姐妹淘,2011/5/4,124,姜炯哲,喜剧,8.8,韩国
63,素媛,2013/10/2,123,李濬益,剧情,-1,韩国
100,猫鼠游戏,2002/12/16,141,史蒂文·斯皮尔伯格,犯罪,8.7,美国
122,喜剧之王,1999/2/13,NA,周星驰,剧情,8.5,中国
102,加勒比海盗,2003/11/21,143,戈尔·维宾斯基,冒险,8.6,美国
103,摩登时代,1936/2/25,87,查理·卓别林,剧情,9.2,美国
104,穿条纹睡衣的男孩,2008/9/12,94,马克·赫门,战争,8.9,英国
105,阿凡达,2009/12/18,162,詹姆斯·卡梅隆,科幻,8.6,美国
198,房间,2015/9/4,118,伦尼·阿伯拉罕森,家庭,-1,爱尔兰
195,秒速5厘米,2007/3/3,NA,新海诚,剧情,8.3,日本
108,风之谷,1984/3/11,117,宫崎骏,动画,8.8,日本
109,爱在日落黄昏时,2004/2/10,80,理查德·林克莱特,爱情,8.7,美国
110,侧耳倾听,1995/7/15,111,近藤喜文,爱情,8.8,日本
56,寻梦环游记,2017/11/24,105,李·昂克里奇,动画,-1,美国
80,春光乍泄,1997/5/17,NA,王家卫,爱情,8.8,中国
113,红辣椒,2006/9/2,90,今敏,悬疑,8.9,日本
114,恐怖直播,2013/7/31,97,金秉祐,犯罪,8.7,韩国
115,萤火虫之墓,1988/4/16,89,高畑勋,剧情,8.7,日本
212,荒野生存,2007/9/21,NA,西恩·潘,传记,8.6,美国
187,谍影重重,2002/11/21,119,道格·里曼,悬疑,-1,美国
118,幸福终点站,2004/6/18,128,史蒂文·斯皮尔伯格,剧情,8.6,美国
119,岁月神偷,2010/4/16,117,罗启锐,家庭,8.6,中国
120,借东西的小人阿莉埃蒂,2010/7/17,94,米林宏昌,奇幻,8.7,日本
121,小森林 夏秋篇,2014/8/30,111,森淳一,剧情,8.9,日本
122,喜剧之王,1999/2/13,85,周星驰,剧情,8.5,中国
123,神偷奶爸,2010/6/20,95,皮艾尔·柯芬,动画,8.5,美国
124,七武士,1954/4/26,160,黑泽明,冒险,9.2,日本
125,杀人回忆,2003/5/2,130,奉俊昊,剧情,8.7,韩国
126,海洋,2009/10/17,104,雅克·贝汉,纪录片,9,法国
127,真爱至上,2003/9/7,135,理查德·柯蒂斯,剧情,8.5,英国
128,电锯惊魂,2004/1/19,103,詹姆斯·温,惊悚,8.7,美国
129,贫民窟的百万富翁,2008/8/30,120,丹尼·鲍尔,爱情,8.5,英国
130,谍影重重3,2007/11/15,115,保罗·格林格拉斯,悬疑,8.7,美国
131,喜宴,NA,108,李安,喜剧,8.8,中国
132,雨人,1988/12/16,133,巴瑞·莱文森,剧情,8.6,美国
133,记忆碎片,2000/9/5,113,克里斯托弗·诺兰,剧情,8.5,美国
134,东邪西毒,1994/9/17,100,王家卫,动作,8.6,中国
121,小森林 夏秋篇,2014/8/30,111,森淳一,剧情,-1,日本
162,超能陆战队,2014/11/7,102,唐·霍尔,动作,-1,美国
137,黑天鹅,2010/9/1,108,达伦·阿罗诺夫斯基,惊悚,8.5,美国
138,燃情岁月,1994/12/16,133,爱德华·兹威克,爱情,8.7,美国
139,英雄本色,1986/8/2,95,吴宇森,犯罪,8.7,中国
140,虎口脱险,1966/12/8,132,杰拉尔·乌里,战争,8.9,法国
11,海上钢琴师,1998/10/28,165,朱塞佩·托纳多雷,音乐,-1,意大利
142,恋恋笔记本,2004/6/25,123,尼克·卡索维茨,爱情,8.5,美国
143,傲慢与偏见,2005/9/16,129,乔·怀特,爱情,8.4,法国
144,7号房的礼物,2013/1/23,127,李焕庆,喜剧,8.7,韩国
145,海边的曼彻斯特,2016/11/18,137,肯尼斯·罗纳根,家庭,8.6,美国
146,哈利·波特与死亡圣器(下),2011/8/4,130,大卫·叶茨,悬疑,8.6,美国
147,魂断蓝桥,1940/5/17,108,Mervyn,战争,8.8,美国
148,猜火车,1996/2/23,94,丹尼·博伊尔,剧情,8.5,英国
98,阳光姐妹淘,2011/5/4,124,姜炯哲,喜剧,-1,韩国
150,萤火之森,2011/9/17,45,大森贵弘,爱情,8.7,日本
151,完美的世界,1993/11/24,138,克林特·伊斯特伍德,犯罪,9,美国
152,穿越时空的少女,2006/7/15,98,细田守,爱情,8.6,日本
153,纵横四海,1991/2/2,108,吴宇森,喜剧,8.7,中国
173,一次别离,2011/2/15,123,阿斯哈·法哈蒂,家庭,-1,伊朗
222,初恋这件小事,2010/8/12,118,普特鹏·普罗萨卡·那·萨克那卡林,喜剧,-1,泰国
156,玩具总动员3,2010/6/16,103,李·昂克里奇,动画,8.8,美国
157,雨中曲,1952/4/11,103,Stanley,歌舞,9,美国
158,花样年华,2000/5/20,98,王家卫,爱情,8.5,中国
159,二十二,2015/10/5,99,郭柯,纪录片,8.8,中国
160,我是山姆,2001/12/3,132,杰茜·尼尔森,家庭,8.8,美国
161,唐伯虎点秋香,1993/7/1,102,李力持,爱情,8.4,中国
162,超能陆战队,2014/11/7,102,唐·霍尔,动作,8.6,美国
163,时空恋旅人,2013/9/4,123,理查德·柯蒂斯,爱情,8.6,英国
49,教父2,1974/12/12,NA,弗朗西斯·福特·科波拉,犯罪,9.1,美国
7,泰坦尼克号,1998/4/3,194,詹姆斯·卡梅隆,爱情,-1,美国
166,浪潮,2008/3/13,107,丹尼斯·甘塞尔,惊悚,8.7,德国
167,冰川时代,2002/3/15,81,卡洛斯·沙尔丹哈,动画,8.4,美国
168,香水,2006/9/7,147,汤姆·提克威,犯罪,8.4,德国
169,心迷宫,2014/7/21,110,忻钰坤,犯罪,8.6,中国
170,朗读者,2008/12/10,124,史蒂芬·戴德利,爱情,8.5,美国
171,罗生门,1950/8/26,88,黑泽明,剧情,8.7,日本
172,追随,1998/9/12,69,克里斯托弗·诺兰,悬疑,8.9,英国
173,一次别离,2011/2/15,123,阿斯哈·法哈蒂,家庭,8.7,伊朗
174,撞车,2004/9/10,112,保罗·哈吉斯,剧情,8.6,美国
175,爆裂鼓手,2014/10/10,107,达米安·沙泽勒,音乐,8.6,美国
176,未麻的部屋,NA,81,今敏,奇幻,8.8,日本
177,可可西里,2004/10/1,85,陆川,犯罪,8.7,中国
178,战争之王,2005/9/16,122,安德鲁·尼科尔,犯罪,8.5,美国
154,小森林 冬春篇,2015/2/14,120,森淳一,剧情,-1,日本
180,恐怖游轮,2009/10/16,99,克里斯托弗·史密斯,悬疑,8.3,英国
181,梦之安魂曲,2000/5/14,102,达伦·阿伦诺夫斯基,剧情,8.7,美国
182,达拉斯买家俱乐部,2013/9/7,117,让-马克·瓦雷,传记,8.7,美国
183,被解救的姜戈,2012/12/25,163,昆汀·塔伦蒂诺,动作,8.5,美国
